ratio = 2.820793838862559, flow_size = 0.006051MB
ratio = 3.102519600215453, flow_size = 0.004002MB
ratio = 2.5076, flow_size = 0.013456MB
ratio = 2.221071863580999, flow_size = 0.000587MB
ratio = 2.65049633656346, flow_size = 0.006599MB
ratio = 2.067497278335551, flow_size = 0.001957MB
ratio = 2.8096249115357397, flow_size = 0.006993MB
ratio = 3.7253529481551784, flow_size = 0.005814MB
ratio = 2.6134397465578165, flow_size = 0.000511MB
ratio = 2.632496401727171, flow_size = 0.028482MB
ratio = 2.896319907273254, flow_size = 0.01054MB
ratio = 4.437109791381149, flow_size = 0.118023MB
ratio = 4.078776004149138, flow_size = 0.011716MB
ratio = 2.077437235083143, flow_size = 0.02421MB
ratio = 2.9648272716907993, flow_size = 0.013986MB
ratio = 2.0110216337951274, flow_size = 0.15426MB
ratio = 3.145110038837237, flow_size = 0.007419MB
ratio = 2.716082182075806, flow_size = 0.006764MB
ratio = 3.3223307912297426, flow_size = 0.004935MB
ratio = 2.5120227857807964, flow_size = 0.022485MB
ratio = 2.1033706533973104, flow_size = 0.006061MB
ratio = 3.0326074628558466, flow_size = 0.015038MB
ratio = 2.47220908230842, flow_size = 0.006447MB
ratio = 2.71102413568167, flow_size = 0.005883MB
ratio = 2.7952009598080383, flow_size = 0.003565MB
ratio = 4.130087253645738, flow_size = 0.000198MB
ratio = 2.5064220183486237, flow_size = 0.006233MB
ratio = 2.2232411620581027, flow_size = 1.167811MB
ratio = 4.268998936295946, flow_size = 0.006575MB
ratio = 3.238225356250918, flow_size = 0.210692MB
ratio = 3.182362185686654, flow_size = 0.002042MB
ratio = 2.257196081966228, flow_size = 0.003198MB
ratio = 3.1953688853247795, flow_size = 0.042717MB
ratio = 3.611997635933806, flow_size = 0.006547MB
ratio = 2.120365426825651, flow_size = 0.00581MB
ratio = 2.2251652479908697, flow_size = 0.306371MB
ratio = 2.2920221074131923, flow_size = 0.003268MB
ratio = 2.562592220976214, flow_size = 0.006833MB
ratio = 3.0513668300171224, flow_size = 0.006753MB
ratio = 2.9785431959345003, flow_size = 0.015989MB
ratio = 3.375310100413467, flow_size = 0.006672MB
ratio = 2.955096278285423, flow_size = 0.108888MB
ratio = 2.332006753497347, flow_size = 0.002534MB
ratio = 2.3510163318058983, flow_size = 0.007772MB
ratio = 2.2733514001806685, flow_size = 0.002797MB
ratio = 2.1836341241364536, flow_size = 0.027454MB
ratio = 2.227968030487482, flow_size = 0.030056MB
ratio = 3.28071995118975, flow_size = 0.000211MB
ratio = 3.229311585512113, flow_size = 0.003642MB
ratio = 2.0269200316706253, flow_size = 0.000573MB
ratio = 2.919408270504912, flow_size = 0.013554MB
ratio = 2.748912071535022, flow_size = 0.004823MB
ratio = 2.60551405841987, flow_size = 0.001126MB
ratio = 3.3715380082498525, flow_size = 0.007125MB
ratio = 3.5961538461538463, flow_size = 0.003842MB
ratio = 5.316898291581836, flow_size = 0.0742MB
ratio = 3.752457657230842, flow_size = 0.006125MB
ratio = 5.039822048611111, flow_size = 0.024582MB
ratio = 4.319150188323917, flow_size = 0.007403MB
ratio = 4.569352551984877, flow_size = 0.006639MB
ratio = 4.053882536071365, flow_size = 0.003975MB
ratio = 2.4877053581015782, flow_size = 0.026914MB
ratio = 2.1712104689203926, flow_size = 0.01255MB
ratio = 3.1987779808131567, flow_size = 0.013603MB
